"COUNTRY","Country","SEX","Gender","EDUCATION_FIELD","Field","EDUCATION_LEV","Education level","MOBILITY","Mobility","YEAR","Year","Value","Flag Codes","Flags"
"SVN","Slovenia","_T","Total","F02","Arts and humanities","ISCED11_5","Short-cycle tertiary education","_T","Total","2017","2017",107,,
"SVN","Slovenia","_T","Total","F02","Arts and humanities","ISCED11_5","Short-cycle tertiary education","_T","Total","2018","2018",168,,
"SVN","Slovenia","_T","Total","F02","Arts and humanities","ISCED11_5","Short-cycle tertiary education","_T","Total","2019","2019",154,,
"SVN","Slovenia","_T","Total","F02","Arts and humanities","ISCED11_5","Short-cycle tertiary education","_T","Total","2020","2020",122,,
"SVN","Slovenia","_T","Total","F02","Arts and humanities","ISCED11_5","Short-cycle tertiary education","_T","Total","2021","2021",184,,
"SVN","Slovenia","_T","Total","F02","Arts and humanities","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2017","2017",926,,
"SVN","Slovenia","_T","Total","F02","Arts and humanities","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2018","2018",833,,
"SVN","Slovenia","_T","Total","F02","Arts and humanities","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2019","2019",821,,
"SVN","Slovenia","_T","Total","F02","Arts and humanities","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2020","2020",744,,
"SVN","Slovenia","_T","Total","F02","Arts and humanities","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",791,,
"SVN","Slovenia","_T","Total","F02","Arts and humanities","ISCED11_7","Master’s or equivalent level","_T","Total","2017","2017",347,,
"SVN","Slovenia","_T","Total","F02","Arts and humanities","ISCED11_7","Master’s or equivalent level","_T","Total","2018","2018",404,,
"SVN","Slovenia","_T","Total","F02","Arts and humanities","ISCED11_7","Master’s or equivalent level","_T","Total","2019","2019",369,,
"SVN","Slovenia","_T","Total","F02","Arts and humanities","ISCED11_7","Master’s or equivalent level","_T","Total","2020","2020",256,,
"SVN","Slovenia","_T","Total","F02","Arts and humanities","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",277,,
"SVN","Slovenia","_T","Total","F02","Arts and humanities","ISCED11_8","Doctoral or equivalent level","_T","Total","2017","2017",109,,
