"COUNTRY","Country","SEX","Gender","EDUCATION_FIELD","Field","EDUCATION_LEV","Education level","MOBILITY","Mobility","YEAR","Year","Value","Flag Codes","Flags"
"ISR","Israel","_T","Total","F05","Natural sciences, mathematics and statistics","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",2195,,
"SVK","Slovak Republic","_T","Total","F08","Agriculture, forestry, fisheries and veterinary","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",386,,
"CHE","Switzerland","M","Male","F01","Education","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",1400,,
"DEU","Germany","_T","Total","F03","Social sciences, journalism and information","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",25949,,
"JPN","Japan","F","Female","F05","Natural sciences, mathematics and statistics","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",2211,"w","Includes data from another category"
"NLD","Netherlands","_T","Total","F08","Agriculture, forestry, fisheries and veterinary","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",774,,
"BRA","Brazil","F","Female","F09","Health and welfare","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",176489,,
"JPN","Japan","F","Female","F02","Arts and humanities","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",71696,"w","Includes data from another category"
"LVA","Latvia","F","Female","F06","Information and Communication Technologies (ICTs)","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",72,,
"PRT","Portugal","_T","Total","F09","Health and welfare","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",9413,,
"ISR","Israel","_T","Total","F05","Natural sciences, mathematics and statistics","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",1179,,
"CHE","Switzerland","_T","Total","F01","Education","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",5108,,
"DEU","Germany","F","Female","F10","Services","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",1638,,
"SVK","Slovak Republic","_T","Total","F08","Agriculture, forestry, fisheries and veterinary","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",483,,
"CZE","Czechia","M","Male","F06","Information and Communication Technologies (ICTs)","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",1113,,
"KOR","Korea","M","Male","F03","Social sciences, journalism and information","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",10303,,
"LVA","Latvia","F","Female","F06","Information and Communication Technologies (ICTs)","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",53,,
"MEX","Mexico","F","Female","F10","Services","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",750,,
"GBR","United Kingdom","_T","Total","F07","Engineering, manufacturing and construction","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",39953,,
"NLD","Netherlands","F","Female","F02","Arts and humanities","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",3000,,
"EST","Estonia","F","Female","F05","Natural sciences, mathematics and statistics","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",115,,
"EST","Estonia","_T","Total","F01","Education","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",317,,
"POL","Poland","_T","Total","F05","Natural sciences, mathematics and statistics","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",7715,,
"LVA","Latvia","M","Male","F01","Education","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",21,,
"SVK","Slovak Republic","M","Male","F08","Agriculture, forestry, fisheries and veterinary","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",151,,
"ISR","Israel","M","Male","F05","Natural sciences, mathematics and statistics","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",986,,
"DNK","Denmark","F","Female","F04","Business, administration and law","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",5238,,
"PRT","Portugal","F","Female","F06","Information and Communication Technologies (ICTs)","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",224,,
"SWE","Sweden","F","Female","F01","Education","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",4807,,
"KOR","Korea","_T","Total","F03","Social sciences, journalism and information","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",24878,,
"DEU","Germany","M","Male","F01","Education","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",7843,,
"MEX","Mexico","F","Female","F10","Services","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",9739,,
"ISR","Israel","M","Male","F05","Natural sciences, mathematics and statistics","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",590,,
"LVA","Latvia","F","Female","F04","Business, administration and law","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",1230,,
"JPN","Japan","_T","Total","F01","Education","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",4399,"w","Includes data from another category"
"KOR","Korea","F","Female","F07","Engineering, manufacturing and construction","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",19938,,
"DNK","Denmark","_T","Total","F06","Information and Communication Technologies (ICTs)","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",2149,,
"CZE","Czechia","F","Female","F08","Agriculture, forestry, fisheries and veterinary","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",709,,
"CHE","Switzerland","F","Female","F08","Agriculture, forestry, fisheries and veterinary","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",253,,
"NOR","Norway","_T","Total","F06","Information and Communication Technologies (ICTs)","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",842,,
"AUT","Austria","_T","Total","F02","Arts and humanities","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",2158,,
"BRA","Brazil","F","Female","F04","Business, administration and law","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",2850,,
"USA","United States","M","Male","F10","Services","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",7658,,
"DEU","Germany","F","Female","F08","Agriculture, forestry, fisheries and veterinary","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",1967,,
"LVA","Latvia","F","Female","F01","Education","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",207,,
