"COUNTRY","Country","ISC11A","ISCED 2011 A education level","SEX","Gender","AGE","Age","FIELD","Field","MEASURE","Measure","INDICATOR","INDICATOR","YEAR","Reference year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","L5","Short-cycle tertiary education","T","Total","Y25T64","25-64 years","F05","Natural sciences, mathematics and statistics","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",,"c","Data below the publication limit"
"AUS","Australia","L6","Bachelor’s or equivalent education","T","Total","Y25T64","25-64 years","F05","Natural sciences, mathematics and statistics","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",83.396751,,
"AUS","Australia","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y25T64","25-64 years","F05","Natural sciences, mathematics and statistics","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",82.66729,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","F05","Natural sciences, mathematics and statistics","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",4.4282303,,
"AUS","Australia","L5","Short-cycle tertiary education","T","Total","Y25T64","25-64 years","F05","Natural sciences, mathematics and statistics","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",,"m","Missing data"
"AUS","Australia","L6","Bachelor’s or equivalent education","T","Total","Y25T64","25-64 years","F05","Natural sciences, mathematics and statistics","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",4.603951,,
"AUS","Australia","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y25T64","25-64 years","F05","Natural sciences, mathematics and statistics","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",4.651545,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","F05","Natural sciences, mathematics and statistics","VALUE","Value","NEAC_RATE_INACTIVITY","Inactivity rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",13.366997,,
"AUS","Australia","L5","Short-cycle tertiary education","T","Total","Y25T64","25-64 years","F05","Natural sciences, mathematics and statistics","VALUE","Value","NEAC_RATE_INACTIVITY","Inactivity rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",,"c","Data below the publication limit"
"AUS","Australia","L6","Bachelor’s or equivalent education","T","Total","Y25T64","25-64 years","F05","Natural sciences, mathematics and statistics","VALUE","Value","NEAC_RATE_INACTIVITY","Inactivity rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",12.578403,,
