COUNTRY,Country,SEX,Gender,EDUCATION_FIELD,Field,EDUCATION_LEV,Education level,MOBILITY,Mobility,YEAR,Year,Value,Flag Codes,Flags
USA,United States,F,Female,F05,"Natural sciences, mathematics and statistics",ISCED11_7,Master’s or equivalent level,_T,Total,2017,2017,18585,,
USA,United States,F,Female,F05,"Natural sciences, mathematics and statistics",ISCED11_7,Master’s or equivalent level,_T,Total,2018,2018,20091,,
USA,United States,F,Female,F05,"Natural sciences, mathematics and statistics",ISCED11_7,Master’s or equivalent level,_T,Total,2019,2019,21250,,
USA,United States,F,Female,F05,"Natural sciences, mathematics and statistics",ISCED11_7,Master’s or equivalent level,_T,Total,2020,2020,24642,,
USA,United States,F,Female,F05,"Natural sciences, mathematics and statistics",ISCED11_7,Master’s or equivalent level,_T,Total,2021,2021,25620,,
USA,United States,F,Female,F07,"Engineering, manufacturing and construction",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2017,2017,30905,,
USA,United States,F,Female,F07,"Engineering, manufacturing and construction",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2018,2018,33258,,
USA,United States,F,Female,F07,"Engineering, manufacturing and construction",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2019,2019,35393,,
USA,United States,F,Female,F07,"Engineering, manufacturing and construction",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2020,2020,39994,,
USA,United States,F,Female,F07,"Engineering, manufacturing and construction",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2021,2021,40244,,
USA,United States,_T,Total,F06,Information and Communication Technologies (ICTs),ISCED11_6,Bachelor’s or equivalent level,_T,Total,2017,2017,76720,,
USA,United States,_T,Total,F06,Information and Communication Technologies (ICTs),ISCED11_6,Bachelor’s or equivalent level,_T,Total,2018,2018,85189,,
USA,United States,_T,Total,F06,Information and Communication Technologies (ICTs),ISCED11_6,Bachelor’s or equivalent level,_T,Total,2019,2019,93810,,
USA,United States,_T,Total,F06,Information and Communication Technologies (ICTs),ISCED11_6,Bachelor’s or equivalent level,_T,Total,2020,2020,103217,,
USA,United States,_T,Total,F06,Information and Communication Technologies (ICTs),ISCED11_6,Bachelor’s or equivalent level,_T,Total,2021,2021,111269,,
USA,United States,F,Female,F05,"Natural sciences, mathematics and statistics",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2017,2017,104881,,
USA,United States,F,Female,F05,"Natural sciences, mathematics and statistics",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2018,2018,109515,,
USA,United States,F,Female,F05,"Natural sciences, mathematics and statistics",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2019,2019,113749,,
USA,United States,F,Female,F05,"Natural sciences, mathematics and statistics",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2020,2020,125344,,
USA,United States,F,Female,F05,"Natural sciences, mathematics and statistics",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2021,2021,130668,,
USA,United States,F,Female,F07,"Engineering, manufacturing and construction",ISCED11_7,Master’s or equivalent level,_T,Total,2017,2017,19054,,
USA,United States,F,Female,F07,"Engineering, manufacturing and construction",ISCED11_7,Master’s or equivalent level,_T,Total,2018,2018,19225,,
USA,United States,F,Female,F07,"Engineering, manufacturing and construction",ISCED11_7,Master’s or equivalent level,_T,Total,2019,2019,18459,,
USA,United States,F,Female,F07,"Engineering, manufacturing and construction",ISCED11_7,Master’s or equivalent level,_T,Total,2020,2020,18308,,
USA,United States,F,Female,F07,"Engineering, manufacturing and construction",ISCED11_7,Master’s or equivalent level,_T,Total,2021,2021,18610,,
USA,United States,F,Female,F05T07,"Science, technology, engineering and mathematics",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2017,2017,151318,,
USA,United States,F,Female,F05T07,"Science, technology, engineering and mathematics",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2018,2018,160866,,
USA,United States,F,Female,F05T07,"Science, technology, engineering and mathematics",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2019,2019,169505,,
USA,United States,F,Female,F05T07,"Science, technology, engineering and mathematics",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2020,2020,188461,,
USA,United States,F,Female,F05T07,"Science, technology, engineering and mathematics",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2021,2021,196568,,
USA,United States,M,Male,F05T07,"Science, technology, engineering and mathematics",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2017,2017,259262,,
USA,United States,M,Male,F05T07,"Science, technology, engineering and mathematics",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2018,2018,270099,,
USA,United States,M,Male,F05T07,"Science, technology, engineering and mathematics",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2019,2019,280348,,
USA,United States,M,Male,F05T07,"Science, technology, engineering and mathematics",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2020,2020,292361,,
USA,United States,M,Male,F05T07,"Science, technology, engineering and mathematics",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2021,2021,293766,,
USA,United States,_T,Total,F05T07,"Science, technology, engineering and mathematics",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2017,2017,410580,,
USA,United States,_T,Total,F05T07,"Science, technology, engineering and mathematics",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2018,2018,430965,,
USA,United States,_T,Total,F05T07,"Science, technology, engineering and mathematics",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2019,2019,449853,,
USA,United States,_T,Total,F05T07,"Science, technology, engineering and mathematics",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2020,2020,480822,,
USA,United States,_T,Total,F05T07,"Science, technology, engineering and mathematics",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2021,2021,490334,,
USA,United States,F,Female,F05T07,"Science, technology, engineering and mathematics",ISCED11_7,Master’s or equivalent level,_T,Total,2017,2017,52499,,
USA,United States,F,Female,F05T07,"Science, technology, engineering and mathematics",ISCED11_7,Master’s or equivalent level,_T,Total,2018,2018,54933,,
USA,United States,F,Female,F05T07,"Science, technology, engineering and mathematics",ISCED11_7,Master’s or equivalent level,_T,Total,2019,2019,55282,,
USA,United States,F,Female,F05T07,"Science, technology, engineering and mathematics",ISCED11_7,Master’s or equivalent level,_T,Total,2020,2020,60964,,
USA,United States,F,Female,F05T07,"Science, technology, engineering and mathematics",ISCED11_7,Master’s or equivalent level,_T,Total,2021,2021,63610,,
USA,United States,M,Male,F05T07,"Science, technology, engineering and mathematics",ISCED11_7,Master’s or equivalent level,_T,Total,2017,2017,100831,,
USA,United States,M,Male,F05T07,"Science, technology, engineering and mathematics",ISCED11_7,Master’s or equivalent level,_T,Total,2018,2018,99243,,
USA,United States,M,Male,F05T07,"Science, technology, engineering and mathematics",ISCED11_7,Master’s or equivalent level,_T,Total,2019,2019,97143,,
USA,United States,M,Male,F05T07,"Science, technology, engineering and mathematics",ISCED11_7,Master’s or equivalent level,_T,Total,2020,2020,99601,,
USA,United States,M,Male,F05T07,"Science, technology, engineering and mathematics",ISCED11_7,Master’s or equivalent level,_T,Total,2021,2021,100935,,
USA,United States,_T,Total,F05T07,"Science, technology, engineering and mathematics",ISCED11_7,Master’s or equivalent level,_T,Total,2017,2017,153330,,
USA,United States,_T,Total,F05T07,"Science, technology, engineering and mathematics",ISCED11_7,Master’s or equivalent level,_T,Total,2018,2018,154176,,
USA,United States,_T,Total,F05T07,"Science, technology, engineering and mathematics",ISCED11_7,Master’s or equivalent level,_T,Total,2019,2019,152425,,
USA,United States,_T,Total,F05T07,"Science, technology, engineering and mathematics",ISCED11_7,Master’s or equivalent level,_T,Total,2020,2020,160565,,
USA,United States,_T,Total,F05T07,"Science, technology, engineering and mathematics",ISCED11_7,Master’s or equivalent level,_T,Total,2021,2021,164545,,
