"COUNTRY","Country","SEX","Gender","EDUCATION_FIELD","Field","MOBILITY","Country of citizenship","EDUCATION_LEV","Education level","YEAR","Year","Value","Flag Codes","Flags"
"MEX","Mexico","_T","Total","F05","Natural sciences, mathematics and statistics","_T","Total","ISCED11_6","Bachelor’s or equivalent level","2020","2020",123271,,
"MEX","Mexico","F","Female","F05","Natural sciences, mathematics and statistics","MOB","Mobile including homecoming nationals","ISCED11_6","Bachelor’s or equivalent level","2020","2020",,"k","Data included in another category"
"MEX","Mexico","M","Male","F05","Natural sciences, mathematics and statistics","MOB","Mobile including homecoming nationals","ISCED11_6","Bachelor’s or equivalent level","2020","2020",,"k","Data included in another category"
"MEX","Mexico","F","Female","F05","Natural sciences, mathematics and statistics","MOB_HOME","Homecoming nationals","ISCED11_6","Bachelor’s or equivalent level","2020","2020",,"o","Missing value"
"MEX","Mexico","F","Female","F05","Natural sciences, mathematics and statistics","_T","Total","ISCED11_7","Master’s or equivalent level","2020","2020",4578,,
"MEX","Mexico","M","Male","F05","Natural sciences, mathematics and statistics","_T","Total","ISCED11_7","Master’s or equivalent level","2020","2020",5294,,
"MEX","Mexico","_T","Total","F05","Natural sciences, mathematics and statistics","_T","Total","ISCED11_7","Master’s or equivalent level","2020","2020",9872,,
"MEX","Mexico","F","Female","F05","Natural sciences, mathematics and statistics","MOB","Mobile including homecoming nationals","ISCED11_7","Master’s or equivalent level","2020","2020",,"k","Data included in another category"
"MEX","Mexico","M","Male","F05","Natural sciences, mathematics and statistics","MOB","Mobile including homecoming nationals","ISCED11_7","Master’s or equivalent level","2020","2020",,"k","Data included in another category"
"MEX","Mexico","_T","Total","F05","Natural sciences, mathematics and statistics","MOB","Mobile including homecoming nationals","ISCED11_7","Master’s or equivalent level","2020","2020",,"k","Data included in another category"
"MEX","Mexico","F","Female","F06","Information and Communication Technologies (ICTs)","_T","Total","ISCED11_6","Bachelor’s or equivalent level","2020","2020",56826,,
"MEX","Mexico","M","Male","F06","Information and Communication Technologies (ICTs)","_T","Total","ISCED11_6","Bachelor’s or equivalent level","2020","2020",185306,,
"MEX","Mexico","_T","Total","F06","Information and Communication Technologies (ICTs)","_T","Total","ISCED11_6","Bachelor’s or equivalent level","2020","2020",242132,,
"MEX","Mexico","_T","Total","F06","Information and Communication Technologies (ICTs)","MOB_HOME","Homecoming nationals","ISCED11_6","Bachelor’s or equivalent level","2020","2020",,"o","Missing value"
"MEX","Mexico","F","Female","F06","Information and Communication Technologies (ICTs)","_T","Total","ISCED11_7","Master’s or equivalent level","2020","2020",1899,,
"MEX","Mexico","M","Male","F06","Information and Communication Technologies (ICTs)","_T","Total","ISCED11_7","Master’s or equivalent level","2020","2020",5674,,
"MEX","Mexico","_T","Total","F06","Information and Communication Technologies (ICTs)","_T","Total","ISCED11_7","Master’s or equivalent level","2020","2020",7573,,
"MEX","Mexico","_T","Total","F06","Information and Communication Technologies (ICTs)","MOB_HOME","Homecoming nationals","ISCED11_7","Master’s or equivalent level","2020","2020",,"o","Missing value"
"MEX","Mexico","_T","Total","F07","Engineering, manufacturing and construction","_T","Total","ISCED11_6","Bachelor’s or equivalent level","2020","2020",920409,,
